date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:47:34	32379/32379	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Jul%202018%2017:47:37%20GMT	http://eco-story.co.kr/member/find	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/member/find.html	(from http://eco-story.co.kr/main/index)
02:47:35	30522/30522	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Jul%202018%2017:47:37%20GMT	http://eco-story.co.kr/order/cart	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/order/cart.html	(from http://eco-story.co.kr/main/index)
02:47:36	385/385	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Jul%202018%2017:47:37%20GMT	http://eco-story.co.kr/mypage/index	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/mypage/index.html	(from http://eco-story.co.kr/main/index)
02:47:36	0/0	---M-Z	302	error ('Found')	text/html	date:Thu,%2019%20Jul%202018%2017:47:38%20GMT	http://eco-story.co.kr/mypage/order_catalog	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/mypage/order_catalog	(from http://eco-story.co.kr/main/index)
02:47:36	32391/32391	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Jul%202018%2017:47:39%20GMT	http://eco-story.co.kr/member/login?order_auth=1	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/member/login0c75.html	(from http://eco-story.co.kr/main/index)
02:47:37	210463/210463	---M--	200	added ('OK')	application/javascript	etag:%2211817e7-3361f-4b989dbe94a80%22	http://eco-story.co.kr/app/javascript/jquery/jquery-ui.min.js	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/app/javascript/jquery/jquery-ui.min.js	(from http://eco-story.co.kr/main/index)
02:47:37	300/300	---M--	200	added ('OK')	image/gif	etag:%2211a0a91-12c-55cd0c190d280%22	http://eco-story.co.kr/data/skin/0727zerom/images/mimg/r_quick01_off.gif	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/data/skin/0727zerom/images/mimg/r_quick01_off.gif	(from http://eco-story.co.kr/main/index)
02:47:37	47231/47231	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Jul%202018%2017:47:39%20GMT	http://eco-story.co.kr/board/?id=notice	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/board/indexffe2.html	(from http://eco-story.co.kr/main/index)
02:47:37	413/413	---M--	200	added ('OK')	image/gif	etag:%2211a0a92-19d-55cd0c190d280%22	http://eco-story.co.kr/data/skin/0727zerom/images/mimg/r_quick01_on.gif	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/data/skin/0727zerom/images/mimg/r_quick01_on.gif	(from http://eco-story.co.kr/main/index)
02:47:37	435/435	---M--	200	added ('OK')	image/gif	etag:%2211a0a93-1b3-55cd0c190d280%22	http://eco-story.co.kr/data/skin/0727zerom/images/mimg/r_quick02_off.gif	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/data/skin/0727zerom/images/mimg/r_quick02_off.gif	(from http://eco-story.co.kr/main/index)
02:47:37	451/451	---M--	200	added ('OK')	image/gif	etag:%2211a0a94-1c3-55cd0c190d280%22	http://eco-story.co.kr/data/skin/0727zerom/images/mimg/r_quick02_on.gif	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/data/skin/0727zerom/images/mimg/r_quick02_on.gif	(from http://eco-story.co.kr/main/index)
02:47:38	202/202	---M--	200	added ('OK')	image/gif	etag:%2211a0a95-ca-55cd0c1a014c0%22	http://eco-story.co.kr/data/skin/0727zerom/images/mimg/r_quick03_off.gif	C:/My%20Web%20Sites/ecostory/eco-story.co.kr/data/skin/0727zerom/images/mimg/r_quick03_off.gif	(from http://eco-story.co.kr/main/index)
